1;Álava;alavés;alavesa;16;INSERT INTO Provincias Values(1,'Álava','alavés','alavesa',16);"INSERT INTO Provincias Values(1,'Álava','alavés','alavesa',16);"
2;Albacete;albaceteño;albaceteña;8;INSERT INTO Provincias Values(2,'Albacete','albaceteño','albaceteña',8);"INSERT INTO Provincias Values(2,'Albacete','albaceteño','albaceteña',8);"
3;Alicante;alicantino;alicantina;10;INSERT INTO Provincias Values(3,'Alicante','alicantino','alicantina',10);"INSERT INTO Provincias Values(3,'Alicante','alicantino','alicantina',10);"
4;Almería;almeriense;almeriense;1;INSERT INTO Provincias Values(4,'Almería','almeriense','almeriense',1);"INSERT INTO Provincias Values(4,'Almería','almeriense','almeriense',1);"
5;Ávila;asturiano;asturiana;7;INSERT INTO Provincias Values(5,'Ávila','asturiano','asturiana',7);"INSERT INTO Provincias Values(5,'Ávila','asturiano','asturiana',7);"
6;Badajoz;pacense;pacense;11;INSERT INTO Provincias Values(6,'Badajoz','pacense','pacense',11);"INSERT INTO Provincias Values(6,'Badajoz','pacense','pacense',11);"
7;Islas Baleares;balear;balear;4;INSERT INTO Provincias Values(7,'Islas Baleares','balear','balear',4);"INSERT INTO Provincias Values(7,'Islas Baleares','balear','balear',4);"
8;Barcelona;barcelonés;barcelonesa;9;INSERT INTO Provincias Values(8,'Barcelona','barcelonés','barcelonesa',9);"INSERT INTO Provincias Values(8,'Barcelona','barcelonés','barcelonesa',9);"
9;Burgos;burgalés;burgalesa;7;INSERT INTO Provincias Values(9,'Burgos','burgalés','burgalesa',7);"INSERT INTO Provincias Values(9,'Burgos','burgalés','burgalesa',7);"
10;Cáceres;cacereño;cacereña;11;INSERT INTO Provincias Values(10,'Cáceres','cacereño','cacereña',11);"INSERT INTO Provincias Values(10,'Cáceres','cacereño','cacereña',11);"
11;Cádiz;gaditano;gaditana;1;INSERT INTO Provincias Values(11,'Cádiz','gaditano','gaditana',1);"INSERT INTO Provincias Values(11,'Cádiz','gaditano','gaditana',1);"
12;Castellón;castellonense;castellonense;10;INSERT INTO Provincias Values(12,'Castellón','castellonense','castellonense',10);"INSERT INTO Provincias Values(12,'Castellón','castellonense','castellonense',10);"
13;Ciudad Real;ciudadrealeño;ciudadrealeña;8;INSERT INTO Provincias Values(13,'Ciudad Real','ciudadrealeño','ciudadrealeña',8);"INSERT INTO Provincias Values(13,'Ciudad Real','ciudadrealeño','ciudadrealeña',8);"
14;Córdoba;cordobés;cordobesa;1;INSERT INTO Provincias Values(14,'Córdoba','cordobés','cordobesa',1);"INSERT INTO Provincias Values(14,'Córdoba','cordobés','cordobesa',1);"
15;A Coruña;coruñés;coruñesa;12;INSERT INTO Provincias Values(15,'A Coruña','coruñés','coruñesa',12);"INSERT INTO Provincias Values(15,'A Coruña','coruñés','coruñesa',12);"
16;Cuenca;conquense;conquense;8;INSERT INTO Provincias Values(16,'Cuenca','conquense','conquense',8);"INSERT INTO Provincias Values(16,'Cuenca','conquense','conquense',8);"
17;Girona;gerundense;gerundense;9;INSERT INTO Provincias Values(17,'Girona','gerundense','gerundense',9);"INSERT INTO Provincias Values(17,'Girona','gerundense','gerundense',9);"
18;Granada;granadino;granadina;1;INSERT INTO Provincias Values(18,'Granada','granadino','granadina',1);"INSERT INTO Provincias Values(18,'Granada','granadino','granadina',1);"
19;Guadalajara;guadalajareño;guadalajareña;8;INSERT INTO Provincias Values(19,'Guadalajara','guadalajareño','guadalajareña',8);"INSERT INTO Provincias Values(19,'Guadalajara','guadalajareño','guadalajareña',8);"
20;Gipuzkoa;guipuzcoano;guipuzcoana;16;INSERT INTO Provincias Values(20,'Gipuzkoa','guipuzcoano','guipuzcoana',16);"INSERT INTO Provincias Values(20,'Gipuzkoa','guipuzcoano','guipuzcoana',16);"
21;Huelva;onubense;onubense;1;INSERT INTO Provincias Values(21,'Huelva','onubense','onubense',1);"INSERT INTO Provincias Values(21,'Huelva','onubense','onubense',1);"
22;Huesca;oscense;oscense;2;INSERT INTO Provincias Values(22,'Huesca','oscense','oscense',2);"INSERT INTO Provincias Values(22,'Huesca','oscense','oscense',2);"
23;Jaén;jienense;jienense;1;INSERT INTO Provincias Values(23,'Jaén','jienense','jienense',1);"INSERT INTO Provincias Values(23,'Jaén','jienense','jienense',1);"
24;León;leonés;leonésa;7;INSERT INTO Provincias Values(24,'León','leonés','leonésa',7);"INSERT INTO Provincias Values(24,'León','leonés','leonésa',7);"
25;Lleida;ilerdense;ilerdense;9;INSERT INTO Provincias Values(25,'Lleida','ilerdense','ilerdense',9);"INSERT INTO Provincias Values(25,'Lleida','ilerdense','ilerdense',9);"
26;La Rioja;riojano;riojana;17;INSERT INTO Provincias Values(26,'La Rioja','riojano','riojana',17);"INSERT INTO Provincias Values(26,'La Rioja','riojano','riojana',17);"
27;Lugo;lucense;lucense;12;INSERT INTO Provincias Values(27,'Lugo','lucense','lucense',12);"INSERT INTO Provincias Values(27,'Lugo','lucense','lucense',12);"
28;Madrid;madrileño;madrileña;13;INSERT INTO Provincias Values(28,'Madrid','madrileño','madrileña',13);"INSERT INTO Provincias Values(28,'Madrid','madrileño','madrileña',13);"
29;Málaga;malageño;malageña;1;INSERT INTO Provincias Values(29,'Málaga','malageño','malageña',1);"INSERT INTO Provincias Values(29,'Málaga','malageño','malageña',1);"
30;Murcia;murciano;murciana;14;INSERT INTO Provincias Values(30,'Murcia','murciano','murciana',14);"INSERT INTO Provincias Values(30,'Murcia','murciano','murciana',14);"
31;Navarra;navarro;navarra;15;INSERT INTO Provincias Values(31,'Navarra','navarro','navarra',15);"INSERT INTO Provincias Values(31,'Navarra','navarro','navarra',15);"
32;Ourense;orensano;orensana;12;INSERT INTO Provincias Values(32,'Ourense','orensano','orensana',12);"INSERT INTO Provincias Values(32,'Ourense','orensano','orensana',12);"
33;Asturias;asturiano;asturiana;3;INSERT INTO Provincias Values(33,'Asturias','asturiano','asturiana',3);"INSERT INTO Provincias Values(33,'Asturias','asturiano','asturiana',3);"
34;Palencia;palentino;palentina;7;INSERT INTO Provincias Values(34,'Palencia','palentino','palentina',7);"INSERT INTO Provincias Values(34,'Palencia','palentino','palentina',7);"
35;Las Palmas;palmense;palmense;5;INSERT INTO Provincias Values(35,'Las Palmas','palmense','palmense',5);"INSERT INTO Provincias Values(35,'Las Palmas','palmense','palmense',5);"
36;Pontevedra;pontevedrés;pontevedresa;12;INSERT INTO Provincias Values(36,'Pontevedra','pontevedrés','pontevedresa',12);"INSERT INTO Provincias Values(36,'Pontevedra','pontevedrés','pontevedresa',12);"
37;Salamanca;salmantino;salmantina;7;INSERT INTO Provincias Values(37,'Salamanca','salmantino','salmantina',7);"INSERT INTO Provincias Values(37,'Salamanca','salmantino','salmantina',7);"
38;Santa Cruz de Tenerife;santacrucero;santacrucera;5;INSERT INTO Provincias Values(38,'Santa Cruz de Tenerife','santacrucero','santacrucera',5);"INSERT INTO Provincias Values(38,'Santa Cruz de Tenerife','santacrucero','santacrucera',5);"
39;Cantabria;cántabro;cántabra;6;INSERT INTO Provincias Values(39,'Cantabria','cántabro','cántabra',6);"INSERT INTO Provincias Values(39,'Cantabria','cántabro','cántabra',6);"
40;Segovia;segoviano;segoviana;7;INSERT INTO Provincias Values(40,'Segovia','segoviano','segoviana',7);"INSERT INTO Provincias Values(40,'Segovia','segoviano','segoviana',7);"
41;Sevilla;hispalense;hispalense;1;INSERT INTO Provincias Values(41,'Sevilla','hispalense','hispalense',1);"INSERT INTO Provincias Values(41,'Sevilla','hispalense','hispalense',1);"
42;Soria;soriano;soriana;7;INSERT INTO Provincias Values(42,'Soria','soriano','soriana',7);"INSERT INTO Provincias Values(42,'Soria','soriano','soriana',7);"
43;Tarragona;tarraconense;tarraconense;9;INSERT INTO Provincias Values(43,'Tarragona','tarraconense','tarraconense',9);"INSERT INTO Provincias Values(43,'Tarragona','tarraconense','tarraconense',9);"
44;Teruel;turolense;turolense;2;INSERT INTO Provincias Values(44,'Teruel','turolense','turolense',2);"INSERT INTO Provincias Values(44,'Teruel','turolense','turolense',2);"
45;Toledo;toledano;toledana;8;INSERT INTO Provincias Values(45,'Toledo','toledano','toledana',8);"INSERT INTO Provincias Values(45,'Toledo','toledano','toledana',8);"
46;Valencia;valenciano;valenciana;10;INSERT INTO Provincias Values(46,'Valencia','valenciano','valenciana',10);"INSERT INTO Provincias Values(46,'Valencia','valenciano','valenciana',10);"
47;Valladolid;pucelano;pucelana;7;INSERT INTO Provincias Values(47,'Valladolid','pucelano','pucelana',7);"INSERT INTO Provincias Values(47,'Valladolid','pucelano','pucelana',7);"
48;Bizkaia;vizcaíno;vizcaína;16;INSERT INTO Provincias Values(48,'Bizkaia','vizcaíno','vizcaína',16);"INSERT INTO Provincias Values(48,'Bizkaia','vizcaíno','vizcaína',16);"
49;Zamora;zamorano;samorana;7;INSERT INTO Provincias Values(49,'Zamora','zamorano','samorana',7);"INSERT INTO Provincias Values(49,'Zamora','zamorano','samorana',7);"
50;Zaragoza;zaragozano;zaragozana;2;INSERT INTO Provincias Values(50,'Zaragoza','zaragozano','zaragozana',2);"INSERT INTO Provincias Values(50,'Zaragoza','zaragozano','zaragozana',2);"
51;Ceuta;ceutí;ceutí;18;INSERT INTO Provincias Values(51,'Ceuta','ceutí','ceutí',18);"INSERT INTO Provincias Values(51,'Ceuta','ceutí','ceutí',18);"
52;Melilla;melillense;melillense;19;INSERT INTO Provincias Values(52,'Melilla','melillense','melillense',19);"INSERT INTO Provincias Values(52,'Melilla','melillense','melillense',19);"
